,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban Area,Population,,Population,,Peak Period,Commuters,Freeway,,Arterial Street,,Public Transportation,,Cost Components,,,,Congested,Congested ,Number of Rush,Annual Excess Fuel Consumed,,,,Annual Hours of Delay,,,,Travel Time Index,,Commuter Stress Index,,Freeway Planning Time Index,,,,Excess CO2 Due to Congestion,,,,Truck,Truck,Annual Congestion Cost,,,,Annual Effects of Operations Treatments,,,Condition if Public Transportation Service were Discontinued,,,Roadway 
,,Group,Year,(000),Rank,Travelers,(000),Daily Vehicle-,Lane-miles,Daily Vehicle-,Lane-miles,Annual,Annual Unlinked,Value of Time,Commercial,Average State,Average State,Travel,System,Hours (time when ,Total Gallons,,Gallons per ,,Total Delay,,per Auto,,,,,,95th Percentile,,80th Percentile,,Congested CO2,,CO2 per Peak ,,Congestion,Commodity,Total Dollars,,per Auto,,Delay Reduction,Delay Reduction,Congestion Cost,Annual Delay,Annual Delay,Annual Congestion,Congestion
,,,,,,(000),,Miles of Travel,,Miles of Travel,,Passenger-miles,Passenger Trips,($/hour),Value of Time,Gasoline Cost,Diesel Cost,(% of Peak VMT),(% of lane-miles),system may be,(000),Rank,Auto Commuter,Rank,(000),Rank,Commuter,Rank,Value,Rank,Value,Rank,Value,Rank,Value,Rank,Pounds (million),Rank,Auto Commuter,,Cost ($mil),Value ($mil),(million),Rank,Commuter ($),Rank,(1000 hours),per Auto Commuter,Savings ($million),Increase,Increase per Auto,Cost Increase,Index
LEFT,,,,,,,,(000),,(000),,(million),(million),,($/hour),($/gallon),($/gallon),,,congested),,,,,,,,,,,,,,,,,,,(pounds),Rank,,,,,,,,(hours),,(1000 hours),Commuter (hours),($million),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugen,Eugene OR,Sml,2011,256,96,144,135,1763,164,1866,415,47.2,11.7,16.79,86.81,3.56,3.91,18,23,1.5,1002,101,6,97,2271,100,13,99,1.08,95,1.09,99,1.73,94,1.26,84,20,99,114,96,14,3682,51,100,284,101,122,1,2.7,339,3,7.6,0.8
Fresn,Fresno CA,Med,2011,686,61,383,359,3857,283,6318,1407,37.7,13,16.79,86.81,3.51,4.02,42,38,2.5,3124,83,7,95,7376,82,15,95,1.08,95,1.08,100,1.79,92,1.23,89,40,92,85,97,41,9612,164,82,337,94,527,1,11.7,227,1,5,0.95
Grand,Grand Rapids MI,Med,2011,612,69,342,321,5624,527,7725,1769,43.6,11,16.79,86.81,3.46,3.74,29,33,2.5,4572,75,11,80,10016,73,24,80,1.09,93,1.12,89,1.99,86,1.26,84,92,73,216,79,44,38029,215,73,501,83,207,1,4.5,318,1,6.8,0.8
Green,Greensboro NC,Sml,2011,351,92,197,185,4583,575,3178,728,44.4,5.7,16.79,86.81,3.32,3.64,18,28,1.5,3005,84,12,69,6625,84,27,68,1.1,87,1.13,81,1.59,96,1.14,97,60,82,245,68,35,51616,146,83,588,66,331,2,7.3,191,1,4.2,0.63
Hartf,Hartford CT,Med,2011,905,51,500,468,11693,950,7428,1664,106.5,17.3,16.79,86.81,3.59,3.9,41,29,3.5,11299,47,18,30,22995,45,38,30,1.18,37,1.21,45,2.79,52,1.53,46,226,47,368,31,75,42754,479,46,781,39,954,2,19.9,1460,3,30.4,0.88
Honol,Honolulu HI,Med,2011,719,56,402,377,6265,487,3148,526,411.1,72.2,16.79,86.81,3.66,4.43,60,52,4.25,11298,48,24,8,20873,50,45,13,1.36,2,1.51,1,3.92,14,2.25,3,225,48,485,9,53,10246,427,52,928,20,1065,3,21.8,643,2,13.1,0.96
Houst,Houston TX,Vlg,2011,4129,10,2440,2274,54700,3280,40768,8100,560,81.9,16.79,86.81,3.29,3.56,69,49,5.75,65852,9,23,12,145832,9,52,6,1.26,10,1.35,6,3.67,21,1.84,19,1324,9,463,10,646,233723,3120,10,1090,8,15113,7,323.4,6733,3,144.1,1.15
India,Indianapolis IN,Lrg,2011,1234,38,703,653,14205,1082,14283,2296,39.9,9.5,16.79,86.81,3.34,3.7,62,57,4,16748,34,19,24,35186,35,41,23,1.17,47,1.22,37,2.5,62,1.41,61,340,31,393,24,241,85407,817,32,930,18,756,1,17.6,609,1,14.1,1.02
Indio,Indio-Cathedral City-Palm Springs CA,Med,2011,585,72,327,306,1058,110,4473,817,24.4,4.4,16.79,86.81,3.51,4.02,31,37,2.5,2781,86,7,95,6036,87,15,95,1.08,95,1.11,95,1.88,90,1.21,91,25,96,61,99,37,5534,138,86,331,96,206,1,4.7,168,1,3.8,0.93
Jacks,Jackson MS,Sml,2011,426,86,239,224,4664,376,6501,1660,4,0.6,16.79,86.81,3.21,3.54,23,22,1.5,4024,79,13,60,7535,81,25,75,1.1,87,1.12,89,2.2,74,1.27,82,83,76,269,59,63,17253,183,79,594,64,260,1,6.3,72,0,1.8,0.85
Jacks,Jacksonville FL,Lrg,2011,1083,42,617,573,12226,933,9360,1569,72.9,13,16.79,86.81,3.24,3.65,55,50,4,10300,50,13,60,22629,46,30,53,1.14,61,1.19,55,2.45,65,1.35,67,207,51,271,57,103,42002,486,45,635,58,1326,2,28.5,501,1,10.8,0.99
Kansa,Kansas City MO-KS,Lrg,2011,1585,29,903,839,21701,2096,12242,3419,69.5,16.8,16.79,86.81,3.24,3.54,23,23,4,12660,39,12,69,29448,37,27,68,1.13,68,1.15,73,2.64,55,1.44,57,256,38,235,70,148,72882,640,38,584,68,1395,2,30.3,538,1,11.7,0.74
