,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t,
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2,
New Orleans,1.3868608857534024,1.3639553136628404,1.334391541452087,1.3054174227361475,1.2846690927988274,1.2748337749432137,1.2788048514694768,1.2934036196515124,1.3135288044033089,0.3270428376387142,0.31038879764035715,0.2884754137623919,0.2665228537946509,0.2505011698527648,0.2428157975175863,0.24592593196353846,0.25727720858180697,0.2727172594068609,-0.03600005604630868,0.40761916761437833,1.5032345717386284,0.7667852684858194,-0.04799462246143662,1.4938766115117779,0.7725428898868874,0.561472628336961,0.5649135437808541,
New York,1.328551985698463,1.2842535380482079,1.263310125991168,1.2530601802762187,1.2410959429298725,1.2333672126313162,1.2294730247522823,1.226367172907711,1.2250064344151086,0.28408961657630094,0.2501776453143033,0.23373536032966083,0.22558870371206946,0.21599481421710554,0.20974800030585095,0.20658564241901403,0.20405628118176314,0.20294609656665766,-0.036984169318235165,0.3636466542521466,1.4385658132295709,0.9806064194303132,-0.047015017829640286,1.4289631641878633,0.9775240091864598,0.820407344004083,0.8119223646133812,
Oklahoma City,1.3110975612258597,1.2897910723541097,1.2750009602571852,1.2672988581834221,1.263863823219174,1.2574334899680917,1.2501762036613628,1.245360273422985,1.242139526018162,0.27086461942375417,0.2544802458413195,0.24294693175299623,0.23688775212182697,0.23417355512589844,0.22907273091155778,0.2232845043089599,0.21942486429880279,0.2168353169908258,-0.024318361418595558,0.32702731740572977,1.3868393615163694,0.9951909674861734,-0.031013197680925204,1.3824313460692004,0.9954764278027888,0.919848572080835,0.9153770830093912,
Orlando,1.3848661716333772,1.3541020206663816,1.3376145866573186,1.3255911469497201,1.315316264996125,1.3074104676721685,1.2996850135029854,1.292992644022242,1.285351971486996,0.32560350799110344,0.3031385192633978,0.29088786838551955,0.2818585085847705,0.2740771424133435,0.26804843864460604,0.2621219378033606,0.25695941069561173,0.2510325886132794,-0.0332948333395541,0.4033267018976039,1.4967958178266907,0.9973300087412301,-0.044408305585494134,1.4879692084880107,0.9981935942169973,0.9355686963248763,0.9298755738419918,
Philadelphia,1.2841177547554121,1.2265252494853012,1.2022800918654142,1.1865529546953812,1.1750407221381178,1.1669146309492935,1.16017799813908,1.1537358360102858,1.1487822147683098,0.2500719103737963,0.2041851711211391,0.18421983048636603,0.17105242690944655,0.1613028041344012,0.15436319805733958,0.14857344001815773,0.14300523027877593,0.13870243761843537,-0.04930842201118067,0.3565050998042313,1.428328814697425,0.9866335787210574,-0.05969533855990636,1.4117132498465588,0.9824961915858506,0.8401100444864257,0.8279659170351649,
Phoenix,1.3377242090881898,1.3059498158416865,1.2936940628378486,1.2808248740156463,1.2687811766218124,1.2594367890944496,1.2543540749183388,1.2498088103824545,1.2441574943956268,0.29096981870232197,0.26693060426731535,0.2575017406429829,0.2475043031985832,0.23805673621290363,0.23066462825015,0.22662075874987392,0.22299058792187015,0.2184585895153961,-0.033044154980521434,0.36750068297396776,1.4441207848261155,0.9967204376415415,-0.0425790400353593,1.4357997330812156,0.9970777493077221,0.9207013630982773,0.9149907539086302,
Pittsburgh,1.3964819567172002,1.330058039366363,1.297814577570683,1.2770429807896806,1.2611477808444327,1.249961861513895,1.242272774487758,1.2360973278953262,1.230645564176768,0.33395618595958304,0.28522257990285105,0.26068175566664487,0.24454723411099827,0.23202224349003175,0.22311304005986216,0.21694258458863686,0.21195910018721523,0.2075388806235049,-0.05723051033939686,0.45940464492208194,1.5831311791836788,0.9899316650080279,-0.07473567995885577,1.558560389788253,0.9860244749105266,0.8473330464178382,0.8344259959576832,
Portland,1.5132631454535335,1.458124272104456,1.429386472105842,1.4103524391976028,1.404257765675055,1.4058560685168755,1.4076966144275667,1.4067225747834864,1.4090100947005904,0.414268342653322,0.3771508645937455,0.3572453117221879,0.3438396300337937,0.3395088825379945,0.34064641867245427,0.34195476181057743,0.3412625836967388,0.34288739733416496,-0.03243059357939407,0.4762225410145301,1.609981262958266,0.8563504094785446,-0.04711642209992958,1.602694654958847,0.8535396451180087,0.5977321046159452,0.5934387887716185,
Providence,1.3175246716287143,1.2713656590722755,1.2504642611124295,1.2344075390802982,1.2254999619708764,1.2326892306619415,1.2516865842920009,1.2777037231788928,1.3034961857915537,0.27575472735195006,0.24009164482997733,0.22351489124894477,0.21059112953382303,0.20334889295451314,0.20919814915520096,0.2244919093044697,0.24506450058044388,0.26505002825867924,-0.011630950141422545,0.2763371735638768,1.318292282407119,0.10847768220935355,-0.014898156539738914,1.3182555450039357,0.11032706335887209,0.002413599935365626,0.0026483148716137913,
Raleigh,1.331121646463061,1.2718152957128177,1.241440714450638,1.2184570449621424,1.2020114783975173,1.1916664069564715,1.1856403500794577,1.1824888896863308,1.180490589071513,0.2860219300249005,0.240445246601319,0.21627257166488154,0.19758534107121634,0.18399638548299227,0.17535266953921225,0.17028300844838873,0.16762144572571536,0.1659301055264893,-0.056143334034386566,0.4095243574129992,1.5061012488244994,0.983772534250519,-0.07002428739046712,1.4836336872226377,0.9803828115718758,0.8308408727610954,0.8195483682560715,
"Rochester, NY",1.2967935188849744,1.2523603170809248,1.230001877312941,1.2155184607907008,1.2051187826060623,1.1981230153781832,1.1939909654114582,1.1915082714674636,1.1903924626591105,0.2598946936515276,0.22503002446901563,0.20701569565384517,0.19517070247499754,0.18657813686125946,0.18075617837669897,0.1773014482847129,0.17521995959505945,0.17428305330506402,-0.039445459635474044,0.3448514008760561,1.4117801147913753,0.9774041605903839,-0.048818965969355144,1.4011631179283621,0.9741764264913951,0.8095941822967464,0.8009954929226896,
Sacramento,1.45615193554944,1.4530437206861992,1.4421055990573115,1.4350462564567303,1.4385781100971682,1.434768533949549,1.4288784987189356,1.4240532472781748,1.4191489046882568,0.375797295669173,0.3736604740777783,0.3661042671505102,0.3611970831566857,0.3636552022204966,0.361003535817689,0.35688986994373867,0.3535072050422198,0.3500573290278321,-0.011355247391170392,0.4047286656147831,1.4988957429207541,0.9094930579079298,-0.016343999851724945,1.4977454362982594,0.9109548825616967,0.9413128238963054,0.9406400475868262,
Salt Lake City,1.3613500876534124,1.3430648675798638,1.3440889544483587,1.35647149571574,1.3560394623383627,1.3538234278475918,1.3584765487124808,1.3585092754758687,1.356765851029866,0.308476918845607,0.2949542168808963,0.2957164262562433,0.3048868397856691,0.3045682911141898,0.30293275819274085,0.30636388710183105,0.3063879775943895,0.30510381698129396,0.0015108212472923256,0.2976378566057819,1.3466740104651456,0.052369200298221764,0.0020308473307293576,1.3467228471695787,0.05181874942582704,0.14893584058131656,0.1482132394823184,
San Antonio,1.4519665174020164,1.4119484182327386,1.380428163161324,1.3474505651680562,1.3179414742979467,1.2984360342390284,1.2805605904241975,1.2672119287543748,1.2568984728722048,0.3729188564962422,0.3449706074071332,0.322393714207832,0.2982143367963715,0.27607103016111467,0.2611604896358446,0.24729794332338612,0.23681915550781418,0.2286471569524554,-0.06932318288539528,0.5458399406393846,1.7260575595700265,0.9747635109272335,-0.09372419258789812,1.683883829680474,0.9797400666510351,0.9683052373455326,0.9616520235777246,
San Diego,1.419982051802556,1.4037101783008972,1.40534651639552,1.4089076970134489,1.4089799491217252,1.4127898925574056,1.4155996434834515,1.4158730357637557,1.4158043711614672,0.3506442319576245,0.339118858583288,0.34028390326380287,0.3428147211989791,0.3428660022416362,0.3455663966498703,0.3475532176407724,0.34774632724282334,0.34769782976769853,0.0007026146379047065,0.3423040296938701,1.4081883635154886,0.017080175722578615,0.000981346749581126,1.4082326215826841,0.016723726386585855,0.13726028198644608,0.1364126424267349,
San Francisco,1.4123371408549048,1.416567988314142,1.4029569815109362,1.4015576532477296,1.3861138822910202,1.3778557245951841,1.3696843867703823,1.3613612725155106,1.3561774377034035,0.3452458788812729,0.3482370365345077,0.3385821388618854,0.3375842275926857,0.3265040635473951,0.3205284679774625,0.3145803386795656,0.30848513481903844,0.30467003472116877,-0.020302059315235314,0.4027828616317868,1.4959820212989674,0.8250156881086459,-0.028180416443757458,1.4921515065325432,0.8270267454483523,0.9684336493365987,0.9682935299850527,
San Jose,1.4096310284707418,1.4096273423355778,1.4092016414676893,1.4066804044667163,1.396960062498264,1.3956926271635566,1.393354717600164,1.3870483808267393,1.3737245874828627,0.3433279882097408,0.34332537324177465,0.34302333230664106,0.34123260554068774,0.3342984918191237,0.33339079898182955,0.33171430531070895,0.3271780223586194,0.31752572791699435,-0.010115357577522164,0.3726816613786284,1.4516221588748452,0.680500954842699,-0.014122076339147955,1.4505960799347157,0.6829797362116764,0.8882248470186049,0.8900492654117379,
Seattle,1.4456563048025668,1.4556418481376483,1.4286042358546414,1.417955673346052,1.4147237318570247,1.4076416923663035,1.4064663638668218,1.4027150253194258,1.4000644916749054,0.36856340862604553,0.3754469360936652,0.3566979087732875,0.34921616763970476,0.3469342695290326,0.34191574549688075,0.34108043388528964,0.338409662398834,0.3365183010423065,-0.01773322226495122,0.41658786274768145,1.5167772636858465,0.8644956674619171,-0.025282693227836234,1.5141193352215987,0.8626629636155716,0.8545212583309293,0.8511248947496289,
South Florida,1.32034652628619,1.2768819195755856,1.257743682918944,1.2430345851340074,1.2297619139807563,1.2199936384657204,1.214275793996184,1.214361845814369,1.2164204597714086,0.2778942220597367,0.24442110572383585,0.22931938785148923,0.21755563606266043,0.20682058477873158,0.19884564435920998,0.1941478447573842,0.1942187090286205,0.1959124966166533,-0.039264010906735786,0.3639405845430488,1.4389887134460824,0.9775508754906547,-0.049513920292662196,1.4280865738051718,0.9756009743345896,0.8226208307067412,0.8152202801959516,
St. Louis,1.4333416134240047,1.3693210998382908,1.3390167731884297,1.3276352104199123,1.3217159774076757,1.3156220711743434,1.3128623771549222,1.3101513878193871,1.3053275799381137,0.3600085108221665,0.31431506945246984,0.29193559328362445,0.2833993223709118,0.2789308752367233,0.274309611700359,0.272209774255853,0.27014269375705174,0.26645402838429694,-0.040150397053345714,0.4397501430213992,1.5523193122396297,0.9300849950584121,-0.05472580671619587,1.541075763041686,0.9239757783068697,0.7163840484824782,0.7061118508001094,
Tampa Bay,1.3536513388843285,1.31708692332256,1.2955984531690132,1.2778048064694179,1.2628029081136267,1.2531993864468807,1.24866206361036,1.2457713004690596,1.242165398130372,0.3028056368133584,0.2754224215873952,0.25897271440340536,0.24514361069837542,0.2333337806081599,0.22569979050663252,0.2220726289698114,0.21975485654338134,0.2168561454422445,-0.04074821260002715,0.3962388017211962,1.4862241880720528,0.9925976262586649,-0.0526987118387712,1.4737190900775092,0.9919467802764915,0.8783724582574555,0.8714525877164334,
Washington,1.435547886324772,1.387225432085199,1.3445230318825292,1.3212312579926235,1.3027244174175014,1.292257630499715,1.2823778856158738,1.2766240742806114,1.272221950364533,0.3615465786605409,0.3273056602708371,0.29603932702448277,0.2785640730440844,0.26445777724534536,0.25639078989353714,0.24871607763541106,0.24421915178562625,0.24076493897673973,-0.057396148442499066,0.4935795119010412,1.6381695851362517,0.9920222105080766,-0.07733299725329808,1.6119255017628489,0.9905521072416368,0.8745132301317443,0.8643713587340957,
,,,,,,,,,,,,,,,,,,,,,Mean rsq,0.8537941318019883,,,0.8521207441375868,0.7408077439431235,0.7341880112982712,
