,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2
New Orleans,1.416322547079509,1.3838875737878413,1.3489148947289156,1.3389833968635285,1.3343557809401991,1.3385224152730324,1.3505891851756389,1.3695515239576628,1.3966039300244457,0.34806375681742685,0.32489662108366085,0.2993004875623541,0.29191066697833423,0.2884486142886538,0.29156633039989516,0.300540930704391,0.3144833314723343,0.33404352542014315,-0.01331434631539988,0.3599576630451335,1.4332687330421516,0.20361695218528242,-0.01841274104370047,1.4327800121714556,0.20671519650133607,0.03356427774039684,0.03476783057782998
New York,1.3157627494011674,1.2629348483479246,1.2364276854478877,1.222552045843428,1.213694116825805,1.208396652771828,1.205914352002741,1.2046254703094295,1.2044434075797017,0.27441653504038743,0.2334382571984792,0.21222632300821365,0.20094051474773106,0.1936686978133346,0.18929440055950275,0.18723807754322927,0.18616870560901988,0.1860175578093489,-0.0401020336000136,0.3564259431080322,1.4282157573820482,0.9422156851816135,-0.05024073700836584,1.4176751916724035,0.9374267499748868,0.732073709819028,0.7232087842535262
Oklahoma City,1.3330075580666654,1.302577181329865,1.2782037611934325,1.2586490530021517,1.243847517949237,1.2344875734787604,1.227948305822975,1.2226100071300814,1.2192662129771015,0.28743771114798833,0.2643447491891203,0.2454557808000737,0.2300389656100401,0.21820941280839135,0.2106559637165982,0.20534473260351693,0.20098792370092805,0.1982492130197997,-0.042929363134162415,0.38888170641220315,1.4753300189291028,0.9932880522210611,-0.05462882224767633,1.4613370594003277,0.9936062814987066,0.9069707119397558,0.900522840582237
Orlando,1.4073453796667255,1.368037812411222,1.3529409382116724,1.3357222696848219,1.3227647345428062,1.3109961293844155,1.3015389438384548,1.2938955646318264,1.287340449469058,0.341705220408779,0.313377459469841,0.30228069576850203,0.289472171531563,0.279724042065563,0.2707872523625709,0.2635473672779324,0.25765748542743094,0.2525784231342174,-0.04051077170786961,0.43658416881083795,1.547412480879884,0.9953229888348221,-0.054470711085145895,1.5340797660017096,0.9965190803200165,0.9382894904146666,0.931699228608158
Philadelphia,1.2908066509637137,1.221294302281372,1.20124627478735,1.1855169545716866,1.1733077141049333,1.1653283208068956,1.1592931878775155,1.153822612145486,1.1493697375302219,0.25526733377281485,0.19991119989406345,0.18335958018400836,0.1701789280420484,0.1598268661338592,0.15300286774884803,0.14781049861166987,0.14308044062528774,0.1392137378169484,-0.05044291321244247,0.36030609171771344,1.4337682119755935,0.9706909254041265,-0.061190584154239086,1.4168228665514986,0.9645159119089951,0.8030060121204597,0.7892492398261031
Phoenix,1.344427913754184,1.3330034239016018,1.3052617006945595,1.2881022315645838,1.2802850434359947,1.2712116017778166,1.2658272140371463,1.2585556789471462,1.2523532277965723,0.2959685796361458,0.2874346097616163,0.26640355760051115,0.25316999686509634,0.24708274332411806,0.2399704628332533,0.2357258326042936,0.22996477692458023,0.225024363714422,-0.03439484271066776,0.38153724830707436,1.4645342126154937,0.974038604926115,-0.04467406947187512,1.4551922648672895,0.9749000650662848,0.9339849442767222,0.9295112294300849
Pittsburgh,1.4115605231076185,1.3399770609126298,1.3051406812780726,1.2817943808930483,1.2648153813211274,1.2535936164248203,1.245412074800628,1.238920592591702,1.2344561116309156,0.34469584636644296,0.29265249509437496,0.26631083671011563,0.2482609563157409,0.23492616790901505,0.22601431985208548,0.21946645892922945,0.21424051067524275,0.21063047763683362,-0.06105336889685592,0.4782242176750115,1.613207152392837,0.9880673841263881,-0.0802320601382322,1.58505085845691,0.9837271294510549,0.8406646537158466,0.827015715849479
Portland,1.5301276739734433,1.4913588455422746,1.4731281162210448,1.456269971547138,1.4407046826983154,1.4297790976947944,1.4261614774445286,1.4293416108501145,1.4320189723752634,0.42535117896429964,0.39968768123312637,0.38738811008729884,0.37587835260496605,0.3651323568738343,0.35751995520248675,0.3549865536208027,0.35721392625674353,0.35908531731609583,-0.03297232591744831,0.4986270817135073,1.6464592642485707,0.9642706536497437,-0.04857651554137435,1.6374914072097277,0.9637320783120537,0.80807636070991,0.8033992940791014
Providence,1.3413795461632436,1.2792927288201636,1.249214553394799,1.2359886141697098,1.2335825315465978,1.2346713669311957,1.2378648301781199,1.2391867314568445,1.2398242295003903,0.2936985964408434,0.24630736960716967,0.22251499653087292,0.21187114715626545,0.20992256317754018,0.21080483501829275,0.2133879842772591,0.21445530271720403,0.21496961916649657,-0.034024985370192315,0.35318035819312776,1.4235878760180707,0.7843230440301812,-0.043650260834194515,1.4171537999933383,0.7814829945349105,0.5039659044464181,0.5006489251190434
Raleigh,1.3599560158886321,1.2841673699040268,1.2442193027437145,1.2214655452556848,1.205287459552572,1.1953550018287182,1.1908050726732355,1.188697239807107,1.1881349038874762,0.30745235796661213,0.25011054716543946,0.21850826715920907,0.20005140440476554,0.18671809413803284,0.17844321392614373,0.17462961003723962,0.172857950975252,0.17238476995435847,-0.06242007533839009,0.43931056292249904,1.5516370935187027,0.9616750986211239,-0.07880743837113081,1.5244571818899169,0.9556673949708306,0.7721543835845849,0.7588654126873805
